section,group_name,group_weight,control_type,item_1,item_2,item_3
ОБЩЕЕ СОСТОЯНИЕ,РАБОТОСПОСОБНОСТЬ,1,radio,Тетрадка работает без сбоев.,Тетрадка не работает – ошибка синтаксиса.,Тетрадка не работает глобально.
ОФОРМЛЕНИЕ,ОПИСАНИЕ,1,radio,"Есть введение, описание, ход работы, выводы, заключение.","Описание проекта неполное, частично восполнено комментариями в коде.","Описание обрывочное, нелогичное, только комментарии."
ОФОРМЛЕНИЕ,СТРУКТУРА,1,radio,"Наличие четко выделенной структуры в проекте, разделов и глав выделенных стилями в маркдауне, все последовательно.","Проект слабо структурирован, есть отдельные заголовки, без выделения стилями.",Полотно кода без структуры.
ОФОРМЛЕНИЕ,ВИЗУАЛИЗАЦИЯ,1,radio,"Визуализация наглядная, понятная, стиль и оформление на уровне (цветовая гамма, шрифты, подписи, заголовки, толщина линий, размер элементов).","Визуализация понятная, но с дефолтными стилями без учета легкости восприятия.",Визуализации нет или непонятно о чем.
ДАННЫЕ,РАЗВЕДОЧНЫЙ АНАЛИЗ,1,radio,EDA глубокий с поиском взаимосвязей внутри данных,"EDA минимально достаточный, на уровне общих статистик.",EDA недостаточный или отсутствует.
ДАННЫЕ,ПРЕДОБРАБОТКА ДАННЫХ,1,radio,"Данные сохранены, удалений почти нет, исправлены аномалии, заполнены пропуски, неявные дубликаты приведены к общему виду.","Частичная предобработка, не все типы аномалий исправлены или не полностью.","Не выполнена предобработка, все проблемы решаются удалением сомнительных данных."
ДАННЫЕ,ФИЧЕИНЖИНИРИНГ,1,radio,Респект за креатив и активный поиск решений в генерации признаков,"Добавлены очевидные признаки, лежащие на поверхности.",Фичеинжиниринг отсутствует.
КОД,ЧИТАЕМОСТЬ,1,radio,"Код соответствует pep8, аккуратный, легкочитаемый.","Код читаемый, требует доработки по стилю.","Код нелогичный, плохо отформатированный, нечитаемые имена переменных."
КОД,МИНИМИЗАЦИЯ,1,radio,"Код оформлен в функции (классы), повторов нет.","В коде заметного дублирования нет, отдельные повторяющиеся строки, есть возможность для переиспользования кода.","Большие куски копипасты в коде, требуется переработка."
КОД,ОПТИМАЛЬНОСТЬ,1,radio,"Действия выполняются оптимальным способом, ничего лишнего, используются нативные методы.","Решение возможно оптимизировать, есть избыточность, можно заменить нативными методами.",Решено за счет откровенных костыли и велосипедов.
ТЕХНОЛОГИИ,ПАЙПЛАЙНЫ,1,radio,"Подготовка данных упакована в пайплайны, включая кастомные функции, структурировано и логично.",Подготовка данных ведется вручную по шагам или частично с пайплайном.,"Подготовка данных с ошибками в логике (скейлеры-енкодеры до сплита, медианы на тесте и прочие радости)."
ОБЩИЕ РЕЗУЛЬТАТЫ,ДОСТИЖЕНИЕ ЦЕЛИ,1,radio,"Цель достигнута, метрики хорошие, проект презентабельный, используются актульные технологии.","Цель достигнута, но проект недостаточно презентабельный, метрики допустимые.",Цель не достигнута.